Número do animal;Número do grupo;Dias em Lactação;Número de lactação;Data;Nome da sala de ordenha;Número da sala de ordenha;Número da sessão;Número do lote;Número de MPC;Hora ID;Hora de início;Duração do leite (mm:ss);Hora do fim;Produção (kg);Produção Relativa (%);Produção primeiros 2 minutos;Produção de LEC;Baixa produção;Segunda volta
4582;3;129;1;11/05/2017;Parlor1;1;3;0;7;;11/05/2017 16:21;08:00;16:29;0,00;0,00;0,00;;Unchecked;Unchecked
4536;2;128;1;11/05/2017;Parlor1;1;3;0;8;;11/05/2017 16:21;08:00;16:29;0,00;0,00;0,00;;Unchecked;Unchecked
4536;2;128;1;12/05/2017;Parlor1;1;1;5;4;;12/05/2017 09:23;19:04;09:42;2,74;114,00;0,03;;Unchecked;Unchecked
4582;3;129;1;12/05/2017;Parlor1;1;1;5;3;;12/05/2017 09:22;19:48;09:42;10,16;200,00;1,55;;Unchecked;Unchecked
4585;2;127;1;12/05/2017;Parlor1;1;1;5;2;;12/05/2017 09:22;21:26;09:43;9,10;100,00;3,00;;Unchecked;Unchecked
4066;3;132;1;12/05/2017;Parlor1;1;1;1;1;;12/05/2017 09:22;22:28;09:44;0,00;0,00;1,03;;Checked;Unchecked
4065;4;137;1;12/05/2017;Parlor1;1;1;2;3;;12/05/2017 08:27;07:05;08:34;1,23;55,00;0,45;;Checked;Unchecked
4587;4;137;1;12/05/2017;Parlor1;1;1;2;4;;12/05/2017 08:28;13:58;08:42;9,22;125,00;1,20;;Unchecked;Unchecked
5407;4;133;1;12/05/2017;Parlor1;1;1;2;2;;12/05/2017 08:27;13:57;08:41;11,63;170,00;0,75;;Unchecked;Unchecked
4546;4;134;1;12/05/2017;Parlor1;1;1;2;1;;12/05/2017 08:26;13:06;08:39;13,38;179,00;0,90;;Unchecked;Unchecked
4550;4;133;1;12/05/2017;Parlor1;1;1;3;1;;12/05/2017 08:50;19:32;09:09;13,19;159,00;1,00;;Unchecked;Unchecked
4525;3;129;1;12/05/2017;Parlor1;1;1;4;8;;12/05/2017 09:13;25:29;09:39;4,04;66,00;1,58;;Checked;Unchecked
5409;3;130;1;12/05/2017;Parlor1;1;1;4;7;;12/05/2017 09:13;25:04;09:38;10,17;105,00;0,00;;Unchecked;Unchecked
4560;3;131;1;12/05/2017;Parlor1;1;1;4;6;;12/05/2017 08:56;23:46;09:20;14,87;240,00;1,23;;Unchecked;Unchecked
5403;3;130;1;12/05/2017;Parlor1;1;1;5;5;;12/05/2017 09:11;13:03;09:24;0,00;0,00;3,48;;Unchecked;Unchecked
4551;3;129;1;12/05/2017;Parlor1;1;1;3;3;;12/05/2017 08:52;17:26;09:09;10,92;204,00;1,50;;Unchecked;Unchecked
4535;3;129;1;12/05/2017;Parlor1;1;1;3;4;;12/05/2017 08:52;17:08;09:09;7,66;148,00;1,80;;Unchecked;Unchecked
5402;2;128;1;12/05/2017;Parlor1;1;1;3;2;;12/05/2017 08:51;18:41;09:09;5,41;130,00;2,60;;Unchecked;Unchecked
4586;2;132;1;12/05/2017;Parlor1;1;1;5;1;;12/05/2017 09:49;08:15;09:57;3,53;95,00;0,00;;Unchecked;Unchecked
4548;4;134;1;12/05/2017;Parlor1;1;1;0;6;;12/05/2017 08:29;20:24;08:50;4,22;0,00;2,45;;Unchecked;Unchecked
4573;4;132;1;12/05/2017;Parlor1;1;1;0;8;;12/05/2017 08:29;06:49;08:36;2,09;0,00;0,80;;Unchecked;Unchecked
4581;4;134;1;12/05/2017;Parlor1;1;1;0;5;;12/05/2017 08:29;08:00;08:37;3,39;0,00;0,90;;Unchecked;Unchecked
4583;4;135;1;12/05/2017;Parlor1;1;1;0;7;;12/05/2017 08:30;16:00;08:46;3,65;0,00;2,13;;Unchecked;Unchecked
4546;4;134;1;12/05/2017;Parlor1;1;2;1;3;;12/05/2017 12:52;08:07;13:00;4,59;220,00;1,20;;Unchecked;Unchecked
4583;4;135;1;12/05/2017;Parlor1;1;2;1;4;;12/05/2017 12:53;07:43;13:00;4,48;229,00;1,85;;Unchecked;Unchecked
4587;4;137;1;12/05/2017;Parlor1;1;2;1;2;;12/05/2017 12:52;09:09;13:01;5,85;200,00;0,90;;Unchecked;Unchecked
4573;4;132;1;12/05/2017;Parlor1;1;2;1;1;;12/05/2017 12:51;08:48;13:00;3,19;200,00;1,13;;Unchecked;Unchecked
5402;2;128;1;12/05/2017;Parlor1;1;2;2;3;;12/05/2017 13:07;12:44;13:19;2,78;246,00;2,23;;Unchecked;Unchecked
4551;3;129;1;12/05/2017;Parlor1;1;2;2;4;;12/05/2017 13:07;12:40;13:19;3,42;235,00;1,58;;Unchecked;Unchecked
4535;3;129;1;12/05/2017;Parlor1;1;2;2;2;;12/05/2017 13:06;13:17;13:19;1,79;127,00;0,35;;Unchecked;Unchecked
4550;4;133;1;12/05/2017;Parlor1;1;2;2;1;;12/05/2017 13:06;12:55;13:19;4,35;192,00;1,30;;Unchecked;Unchecked
4585;2;127;1;12/05/2017;Parlor1;1;2;3;3;;12/05/2017 13:26;05:20;13:32;2,61;100,00;1,63;;Unchecked;Unchecked
