Animal Number,Group Number,Days In Milk,Lactation Number,Date,Parlor Name,Parlor Number,Session Number,Batch Number,MPC Number,Id Time,Begin Time,Milk duration (mm:ss),End Time,Yield,Rel. Yield (%),Yield First 2 Min.,ECM Yield,Low Yield,Second Lap
4525,3,52,1,5/11/2017,Parlor1,1,3,2,3,,5/11/2017 4:11 PM,12:02,4:23 PM,1.04,100.00,0.00,,Unchecked,Unchecked
4535,3,52,1,5/11/2017,Parlor1,1,3,2,4,,5/11/2017 4:10 PM,12:12,4:22 PM,1.71,203.00,1.00,,Unchecked,Unchecked
5409,3,53,1,5/11/2017,Parlor1,1,3,2,2,,5/11/2017 4:10 PM,12:26,4:23 PM,1.62,41.00,0.03,,Checked,Unchecked
5403,3,53,1,5/11/2017,Parlor1,1,3,2,1,,5/11/2017 4:11 PM,11:05,4:22 PM,2.06,200.00,1.60,,Unchecked,Unchecked
4586,2,55,1,5/11/2017,Parlor1,1,3,4,1,,5/11/2017 4:28 PM,09:14,4:38 PM,0.59,101.00,0.35,,Unchecked,Unchecked
4065,4,60,1,5/11/2017,Parlor1,1,3,0,8,,5/11/2017 3:48 PM,08:00,3:56 PM,1.08,0.00,0.60,,Unchecked,Unchecked
4548,4,57,1,5/11/2017,Parlor1,1,3,0,7,,5/11/2017 3:48 PM,08:00,3:56 PM,3.43,0.00,3.05,,Unchecked,Unchecked
4550,4,56,1,5/11/2017,Parlor1,1,3,0,6,,5/11/2017 3:48 PM,06:26,3:55 PM,3.23,0.00,7.00,,Unchecked,Unchecked
4551,3,52,1,5/11/2017,Parlor1,1,3,0,8,,5/11/2017 4:04 PM,08:00,4:12 PM,4.44,0.00,0.00,,Unchecked,Unchecked
4560,3,54,1,5/11/2017,Parlor1,1,3,0,6,,5/11/2017 4:03 PM,08:00,4:11 PM,3.63,0.00,0.00,,Unchecked,Unchecked
4573,4,55,1,5/11/2017,Parlor1,1,3,0,5,,5/11/2017 4:03 PM,06:49,4:10 PM,1.91,0.00,0.00,,Unchecked,Unchecked
5402,2,51,1,5/11/2017,Parlor1,1,3,0,7,,5/11/2017 4:04 PM,08:00,4:12 PM,2.64,0.00,0.00,,Unchecked,Unchecked
5407,4,56,1,5/11/2017,Parlor1,1,3,0,5,,5/11/2017 3:48 PM,08:00,3:56 PM,3.09,0.00,3.68,,Unchecked,Unchecked
4066,3,55,1,5/11/2017,Parlor1,1,3,0,5,,5/11/2017 4:20 PM,08:00,4:28 PM,0.00,0.00,0.00,,Unchecked,Unchecked
4585,2,50,1,5/11/2017,Parlor1,1,3,0,6,,5/11/2017 4:20 PM,08:00,4:28 PM,0.00,0.00,0.00,,Unchecked,Unchecked
4582,3,52,1,5/11/2017,Parlor1,1,3,0,7,,5/11/2017 4:21 PM,08:00,4:29 PM,0.00,0.00,0.00,,Unchecked,Unchecked
4536,2,51,1,5/11/2017,Parlor1,1,3,0,8,,5/11/2017 4:21 PM,08:00,4:29 PM,0.00,0.00,0.00,,Unchecked,Unchecked
4536,2,51,1,5/12/2017,Parlor1,1,1,5,4,,5/12/2017 9:23 AM,19:04,9:42 AM,2.74,114.00,0.03,,Unchecked,Unchecked
4582,3,52,1,5/12/2017,Parlor1,1,1,5,3,,5/12/2017 9:22 AM,19:48,9:42 AM,10.16,200.00,1.55,,Unchecked,Unchecked
4585,2,50,1,5/12/2017,Parlor1,1,1,5,2,,5/12/2017 9:22 AM,21:26,9:43 AM,9.10,100.00,3.00,,Unchecked,Unchecked
4066,3,55,1,5/12/2017,Parlor1,1,1,1,1,,5/12/2017 9:22 AM,22:28,9:44 AM,0.00,0.00,1.03,,Checked,Unchecked
4065,4,60,1,5/12/2017,Parlor1,1,1,2,3,,5/12/2017 8:27 AM,07:05,8:34 AM,1.23,55.00,0.45,,Checked,Unchecked
4587,4,60,1,5/12/2017,Parlor1,1,1,2,4,,5/12/2017 8:28 AM,13:58,8:42 AM,9.22,125.00,1.20,,Unchecked,Unchecked
5407,4,56,1,5/12/2017,Parlor1,1,1,2,2,,5/12/2017 8:27 AM,13:57,8:41 AM,11.63,170.00,0.75,,Unchecked,Unchecked
4546,4,57,1,5/12/2017,Parlor1,1,1,2,1,,5/12/2017 8:26 AM,13:06,8:39 AM,13.38,179.00,0.90,,Unchecked,Unchecked
4550,4,56,1,5/12/2017,Parlor1,1,1,3,1,,5/12/2017 8:50 AM,19:32,9:09 AM,13.19,159.00,1.00,,Unchecked,Unchecked
4525,3,52,1,5/12/2017,Parlor1,1,1,4,8,,5/12/2017 9:13 AM,25:29,9:39 AM,4.04,66.00,1.58,,Checked,Unchecked
5409,3,53,1,5/12/2017,Parlor1,1,1,4,7,,5/12/2017 9:13 AM,25:04,9:38 AM,10.17,105.00,0.00,,Unchecked,Unchecked
4560,3,54,1,5/12/2017,Parlor1,1,1,4,6,,5/12/2017 8:56 AM,23:46,9:20 AM,14.87,240.00,1.23,,Unchecked,Unchecked
5403,3,53,1,5/12/2017,Parlor1,1,1,5,5,,5/12/2017 9:11 AM,13:03,9:24 AM,0.00,0.00,3.48,,Unchecked,Unchecked
4551,3,52,1,5/12/2017,Parlor1,1,1,3,3,,5/12/2017 8:52 AM,17:26,9:09 AM,10.92,204.00,1.50,,Unchecked,Unchecked
4535,3,52,1,5/12/2017,Parlor1,1,1,3,4,,5/12/2017 8:52 AM,17:08,9:09 AM,7.66,148.00,1.80,,Unchecked,Unchecked
5402,2,51,1,5/12/2017,Parlor1,1,1,3,2,,5/12/2017 8:51 AM,18:41,9:09 AM,5.41,130.00,2.60,,Unchecked,Unchecked
4586,2,55,1,5/12/2017,Parlor1,1,1,5,1,,5/12/2017 9:49 AM,08:15,9:57 AM,3.53,95.00,0.00,,Unchecked,Unchecked
4548,4,57,1,5/12/2017,Parlor1,1,1,0,6,,5/12/2017 8:29 AM,20:24,8:50 AM,4.22,0.00,2.45,,Unchecked,Unchecked
4573,4,55,1,5/12/2017,Parlor1,1,1,0,8,,5/12/2017 8:29 AM,06:49,8:36 AM,2.09,0.00,0.80,,Unchecked,Unchecked
4581,4,57,1,5/12/2017,Parlor1,1,1,0,5,,5/12/2017 8:29 AM,08:00,8:37 AM,3.39,0.00,0.90,,Unchecked,Unchecked
4583,4,58,1,5/12/2017,Parlor1,1,1,0,7,,5/12/2017 8:30 AM,16:00,8:46 AM,3.65,0.00,2.13,,Unchecked,Unchecked
4546,4,57,1,5/12/2017,Parlor1,1,2,1,3,,5/12/2017 12:52 PM,08:07,1:00 PM,4.59,220.00,1.20,,Unchecked,Unchecked
4583,4,58,1,5/12/2017,Parlor1,1,2,1,4,,5/12/2017 12:53 PM,07:43,1:00 PM,4.48,229.00,1.85,,Unchecked,Unchecked
4587,4,60,1,5/12/2017,Parlor1,1,2,1,2,,5/12/2017 12:52 PM,09:09,1:01 PM,5.85,200.00,0.90,,Unchecked,Unchecked
4573,4,55,1,5/12/2017,Parlor1,1,2,1,1,,5/12/2017 12:51 PM,08:48,1:00 PM,3.19,200.00,1.13,,Unchecked,Unchecked
5402,2,51,1,5/12/2017,Parlor1,1,2,2,3,,5/12/2017 1:07 PM,12:44,1:19 PM,2.78,246.00,2.23,,Unchecked,Unchecked
4551,3,52,1,5/12/2017,Parlor1,1,2,2,4,,5/12/2017 1:07 PM,12:40,1:19 PM,3.42,235.00,1.58,,Unchecked,Unchecked
4535,3,52,1,5/12/2017,Parlor1,1,2,2,2,,5/12/2017 1:06 PM,13:17,1:19 PM,1.79,127.00,0.35,,Unchecked,Unchecked
4550,4,56,1,5/12/2017,Parlor1,1,2,2,1,,5/12/2017 1:06 PM,12:55,1:19 PM,4.35,192.00,1.30,,Unchecked,Unchecked
4585,2,50,1,5/12/2017,Parlor1,1,2,3,3,,5/12/2017 1:26 PM,05:20,1:32 PM,2.61,100.00,1.63,,Unchecked,Unchecked
4582,3,52,1,5/12/2017,Parlor1,1,2,3,4,,5/12/2017 1:27 PM,05:49,1:32 PM,2.29,184.00,0.03,,Unchecked,Unchecked
4577,2,48,1,5/12/2017,Parlor1,1,2,3,2,,5/12/2017 1:25 PM,06:32,1:32 PM,1.42,100.00,1.18,,Unchecked,Unchecked
5403,3,53,1,5/12/2017,Parlor1,1,2,3,1,,5/12/2017 1:26 PM,05:30,1:31 PM,3.44,200.00,2.25,,Unchecked,Unchecked
4560,3,54,1,5/12/2017,Parlor1,1,2,4,8,,5/12/2017 1:17 PM,11:28,1:28 PM,7.42,200.00,0.00,,Unchecked,Unchecked
4525,3,52,1,5/12/2017,Parlor1,1,2,4,7,,5/12/2017 1:16 PM,11:29,1:27 PM,8.41,200.00,0.85,,Unchecked,Unchecked
5409,3,53,1,5/12/2017,Parlor1,1,2,4,6,,5/12/2017 1:16 PM,27:06,1:43 PM,3.47,140.00,0.00,,Unchecked,Unchecked
4066,3,55,1,5/12/2017,Parlor1,1,2,4,5,,5/12/2017 1:43 PM,13:03,1:56 PM,7.48,200.00,0.00,,Unchecked,Unchecked
4536,2,51,1,5/12/2017,Parlor1,1,2,5,4,,5/12/2017 1:35 PM,14:07,1:49 PM,9.24,200.00,0.03,,Unchecked,Unchecked
4065,4,60,1,5/12/2017,Parlor1,1,2,0,6,,5/12/2017 12:54 PM,08:00,1:02 PM,1.13,0.00,6.25,,Unchecked,Unchecked
4548,4,57,1,5/12/2017,Parlor1,1,2,0,5,,5/12/2017 12:54 PM,08:00,1:02 PM,4.22,0.00,3.95,,Unchecked,Unchecked
4581,4,57,1,5/12/2017,Parlor1,1,2,0,7,,5/12/2017 12:55 PM,08:00,1:03 PM,3.39,0.00,3.68,,Unchecked,Unchecked
4546,4,57,1,5/12/2017,Parlor1,1,3,1,3,,5/12/2017 3:39 PM,09:48,3:49 PM,2.37,185.00,0.05,,Unchecked,Unchecked
