,Grupo,Id_Animal,Num_Lac,Dias_Lac,Pico,Hora_S1,Hora_S2,Hora_S3,Durac_S1,Durac_S2,Durac_S3,Prod_S1,Prod_S2,Prod_S3,Hora_S1_ont,Hora_S2_ont,Hora_S3_ont,Dura_S1_ont,Dura_S2_ont,Dura_S3_ont,Prod_S1_ont,Prod_S2_ont,Prod_S3_ont,Data
14,1,3579.0,1.0,84.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1900-07-27 00:00:00,1901-01-26 00:00:00,,12.88,7.14,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-08-20 00:00:00,1901-03-08 00:00:00,,12.71,7.34,,04/09/2017
15,1,3527.0,1.0,103.0,,,,,,,,,,,,,,,,,,,,04/09/2017
16,1,3500.0,2.0,100.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-01-08 00:00:00,1900-10-14 00:00:00,,14.01,6.6,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1900-12-14 00:00:00,1900-09-03 00:00:00,,13.16,6.21,,04/09/2017
17,1,3475.0,1.0,111.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-04-02 00:00:00,1900-10-16 00:00:00,,14.4,7.11,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-07-24 00:00:00,1900-11-27 00:00:00,,14.33,6.99,,04/09/2017
18,1,3424.0,1.0,108.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1902-04-10 00:00:00,1901-09-19 00:00:00,,7.91,5.37,,2017-09-03 08:30:00,2017-09-03 15:30:00,,1901-12-25 00:00:00,1901-11-02 00:00:00,,7.79,7.3,,04/09/2017
19,1,2581.0,1.0,136.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1903-08-18 00:00:00,1900-11-29 00:00:00,,28.74,7.81,,2017-09-03 09:30:00,2017-09-03 17:00:00,,1901-06-06 00:00:00,1900-10-27 00:00:00,,17.93,7.33,,04/09/2017
20,1,2567.0,1.0,101.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-04-21 00:00:00,1900-09-20 00:00:00,,16.93,7.27,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-03-24 00:00:00,1900-09-22 00:00:00,,15.78,7.42,,04/09/2017
21,1,2468.0,2.0,122.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1903-08-10 00:00:00,1900-09-03 00:00:00,,20.4,5.88,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-02-08 00:00:00,1900-10-06 00:00:00,,12.47,5.89,,04/09/2017
22,1,2406.0,2.0,97.0,,2017-09-04 08:00:00,2017-09-04 15:30:00,,1901-09-05 00:00:00,1900-12-19 00:00:00,,11.4,5.2,,2017-09-03 08:00:00,2017-09-03 15:30:00,,1901-08-09 00:00:00,1901-02-22 00:00:00,,11.85,5.41,,04/09/2017
23,2,5402.0,1.0,118.0,8.565,,,,,,,,,,,,,,,,,,,04/09/2017
24,2,4585.0,1.0,117.0,23.704,2017-09-04 08:30:00,2017-09-04 16:00:00,,1901-04-06 00:00:00,1900-08-21 00:00:00,,11.08,5.61,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-02-20 00:00:00,1900-09-22 00:00:00,,9.57,6.21,,04/09/2017
25,2,4586.0,1.0,122.0,12.32,2017-09-04 08:30:00,2017-09-04 16:00:00,,1901-10-13 00:00:00,1901-04-15 00:00:00,,8.27,5.14,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-08-27 00:00:00,1901-05-19 00:00:00,,7.64,5.4,,04/09/2017
26,2,4575.0,1.0,115.0,22.07667,2017-09-04 08:30:00,2017-09-04 16:00:00,,1901-12-10 00:00:00,1901-02-20 00:00:00,,15.23,6.24,,,2017-09-03 16:00:00,,,1901-02-15 00:00:00,,,6.22,,04/09/2017
27,2,4577.0,1.0,115.0,9.549999,,,,,,,,,,,,,,,,,,,04/09/2017
28,2,4545.0,1.0,114.0,23.7625,2017-09-04 08:30:00,2017-09-04 16:00:00,,1901-08-03 00:00:00,1901-04-12 00:00:00,,14.06,6.37,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-07-09 00:00:00,1901-04-06 00:00:00,,12.51,6.17,,04/09/2017
29,2,4537.0,1.0,115.0,15.822,2017-09-04 08:30:00,2017-09-04 16:00:00,,1900-09-27 00:00:00,1900-08-04 00:00:00,,4.59,2.92,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1900-11-03 00:00:00,1900-08-12 00:00:00,,4.77,2.75,,04/09/2017
30,2,4528.0,1.0,112.0,8.05,2017-09-04 08:30:00,2017-09-04 16:00:00,,1901-07-04 00:00:00,1901-03-06 00:00:00,,6.87,5.49,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1902-01-22 00:00:00,1900-12-24 00:00:00,,14.22,3.64,,04/09/2017
31,2,4536.0,1.0,118.0,24.0,2017-09-04 08:30:00,2017-09-04 16:00:00,,1901-07-13 00:00:00,1901-02-19 00:00:00,,10.44,6.11,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-08-19 00:00:00,1901-02-28 00:00:00,,10.07,6.04,,04/09/2017
32,3,5403.0,1.0,120.0,25.92,2017-09-04 09:00:00,2017-09-04 16:00:00,,1901-03-06 00:00:00,1901-01-21 00:00:00,,12.39,6.43,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-01-09 00:00:00,1901-09-14 00:00:00,,10.31,6.72,,04/09/2017
33,3,5409.0,1.0,120.0,22.53,2017-09-04 09:00:00,2017-09-04 16:00:00,,1901-11-23 00:00:00,1901-02-01 00:00:00,,11.57,6.11,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-05-06 00:00:00,1900-11-26 00:00:00,,10.96,5.5,,04/09/2017
34,3,4582.0,1.0,119.0,22.69667,2017-09-04 08:30:00,2017-09-04 16:00:00,,1901-09-23 00:00:00,1901-03-07 00:00:00,,8.17,3.49,,2017-09-03 08:30:00,2017-09-03 16:00:00,,1901-06-14 00:00:00,1900-10-24 00:00:00,,7.88,3.47,,04/09/2017
35,3,4557.0,1.0,107.0,31.1,2017-09-04 09:00:00,2017-09-04 16:00:00,,1902-04-10 00:00:00,1901-08-19 00:00:00,,12.13,8.54,,2017-09-03 09:00:00,2017-09-03 16:00:00,,1902-03-28 00:00:00,1901-07-05 00:00:00,,12.13,7.96,,04/09/2017
36,3,4560.0,1.0,121.0,48.51,2017-09-04 09:00:00,2017-09-04 16:00:00,,1902-04-11 00:00:00,1901-08-07 00:00:00,,15.32,8.66,,2017-09-03 09:00:00,2017-09-03 16:00:00,,1902-03-02 00:00:00,1901-08-02 00:00:00,,15.79,8.26,,04/09/2017
