,Id_Animal,Hora_S1,Hora_S2,Hora_S3,Prod_S1,Prod_S2,Prod_S3,Data
17,2581.0,08:03                                ,15:32                                ,                                     ,28.74                    ,7.81                     ,                         ,04/09/2017
18,2567.0,07:51                                ,15:20                                ,                                     ,16.93                    ,7.27                     ,                         ,04/09/2017
19,2468.0,08:03                                ,15:35                                ,                                     ,20.40                    ,5.88                     ,                         ,04/09/2017
20,2406.0,08:12                                ,15:32                                ,                                     ,11.40                    ,5.20                     ,                         ,04/09/2017
21,4586.0,08:32                                ,15:53                                ,                                     ,8.27                     ,5.14                     ,                         ,04/09/2017
22,5402.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
23,4577.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
24,4585.0,08:30                                ,15:52                                ,                                     ,11.08                    ,5.61                     ,                         ,04/09/2017
25,4575.0,08:31                                ,15:52                                ,                                     ,15.23                    ,6.24                     ,                         ,04/09/2017
26,4545.0,08:30                                ,15:52                                ,                                     ,14.06                    ,6.37                     ,                         ,04/09/2017
27,4528.0,08:31                                ,15:53                                ,                                     ,6.87                     ,5.49                     ,                         ,04/09/2017
28,4536.0,08:30                                ,15:52                                ,                                     ,10.44                    ,6.11                     ,                         ,04/09/2017
29,4537.0,08:31                                ,15:53                                ,                                     ,4.59                     ,2.92                     ,                         ,04/09/2017
30,5409.0,08:48                                ,16:05                                ,                                     ,11.57                    ,6.11                     ,                         ,04/09/2017
31,5403.0,08:48                                ,16:06                                ,                                     ,12.39                    ,6.43                     ,                         ,04/09/2017
32,4582.0,08:31                                ,15:52                                ,                                     ,8.17                     ,3.49                     ,                         ,04/09/2017
33,4560.0,08:48                                ,16:05                                ,                                     ,15.32                    ,8.66                     ,                         ,04/09/2017
34,4551.0,08:49                                ,16:04                                ,                                     ,13.59                    ,7.22                     ,                         ,04/09/2017
35,4557.0,08:51                                ,16:04                                ,                                     ,12.13                    ,8.54                     ,                         ,04/09/2017
36,4535.0,08:49                                ,16:04                                ,                                     ,20.01                    ,4.82                     ,                         ,04/09/2017
37,4525.0,08:49                                ,16:06                                ,                                     ,9.02                     ,4.92                     ,                         ,04/09/2017
38,4066.0,08:49                                ,16:05                                ,                                     ,7.42                     ,6.89                     ,                         ,04/09/2017
39,5407.0,09:05                                ,16:23                                ,                                     ,13.75                    ,7.58                     ,                         ,04/09/2017
40,4587.0,                                     ,16:20                                ,                                     ,                         ,4.30                     ,                         ,04/09/2017
41,4581.0,09:11                                ,16:19                                ,                                     ,11.29                    ,7.89                     ,                         ,04/09/2017
42,4583.0,09:12                                ,16:24                                ,                                     ,10.34                    ,3.72                     ,                         ,04/09/2017
43,4573.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
44,4548.0,09:06                                ,16:24                                ,                                     ,16.00                    ,9.80                     ,                         ,04/09/2017
45,4550.0,09:06                                ,16:23                                ,                                     ,11.80                    ,5.39                     ,                         ,04/09/2017
46,4546.0,09:06                                ,                                     ,                                     ,13.38                    ,                         ,                         ,04/09/2017
47,4065.0,09:12                                ,16:21                                ,                                     ,7.42                     ,3.67                     ,                         ,04/09/2017
48,5408.0,09:27                                ,16:39                                ,                                     ,12.41                    ,13.17                    ,                         ,04/09/2017
49,4584.0,09:26                                ,16:37                                ,                                     ,12.17                    ,7.10                     ,                         ,04/09/2017
50,4572.0,09:26                                ,16:36                                ,                                     ,9.01                     ,5.09                     ,                         ,04/09/2017
51,4554.0,                                     ,16:36                                ,                                     ,                         ,9.56                     ,                         ,04/09/2017
52,4544.0,09:26                                ,16:36                                ,                                     ,8.87                     ,4.89                     ,                         ,04/09/2017
53,2648.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
54,4426.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
55,4475.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
56,4477.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
57,4465.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
58,3530.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
59,3458.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
60,3437.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
61,2560.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
62,2416.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
63,2710.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
64,3600.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
65,3644.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
66,3785.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
67,4453.0,                                     ,                                     ,                                     ,                         ,                         ,                         ,04/09/2017
