Número do grupo        	Número do animal	Número de lactação	Dias em Lactação	Produção hoje na sessão 1	Produção hoje na sessão 2	Produção hoje na sessão 3	Horário de Ordenha Hoje para Sessão 1	Horário de Ordenha Hoje para Sessão 2	Horário de Ordenha Hoje para Sessão 3	Duração de hoje para a sessão 1 (mm:ss)	Duração de hoje para a sessão 2 (mm:ss)	Duração de hoje para a sessão 3 (mm:ss)	Produção primeiros 2 minutos Sessão 1 hoje	Produção primeiros 2 minutos Sessão 2 hoje	Fluxo 0-15 da sessão 1 hoje	Fluxo 0-15 da sessão 2 hoje	Fluxo 15-30 da sessão 1 hoje	Fluxo 15-30 da sessão 2 hoje	Fluxo 30-60 da sessão 1 hoje	Fluxo 30-60 da sessão 2 hoje	Fluxo 60-120 da sessão 1 hoje	Fluxo 60-120 da sessão 2 hoje	Média do fluxo de hoje para a sessão 1	Média do fluxo de hoje para a sessão 2	Fluxo 0-15 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 1	Fluxo 15-30 da sessão 3 hoje	Pico do Fluxo de Hoje para a Sessão 2	Fluxo 30-60 da sessão 3 hoje	Fluxo 60-120 da sessão 3 hoje	Fluxo na Remoção de Hoje para a Sessão 1	Média do fluxo de hoje para a sessão 3	Fluxo na Remoção de Hoje para a Sessão 2	Pico do Fluxo de Hoje para a Sessão 3	Fluxo na Remoção de Hoje para a Sessão 3	Produção primeiros 2 minutos Sessão 3 hoje
5                      	4554            	1                 	70              	9,95                     	6,94                     	                         	08:58                                	16:46                                	                                     	11:23                                  	09:04                                  	                                       	1,23                                      	0,98                                      	0,00                       	0,10                       	0,10                        	0,00                        	0,60                        	0,30                        	0,90                         	0,80                         	0,8                                   	0,7                                   	                           	1,4                                  	                            	1,4                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
5                      	4544            	1                 	49              	11,23                    	4,09                     	                         	08:48                                	16:45                                	                                     	16:20                                  	08:15                                  	                                       	0,45                                      	0,53                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,10                        	0,20                        	0,40                         	0,40                         	0,6                                   	0,4                                   	                           	1,4                                  	                            	1,0                                  	                            	                             	1,0                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	4426            	2                 	38              	9,60                     	6,00                     	                         	07:16                                	15:12                                	                                     	13:51                                  	09:52                                  	                                       	0,95                                      	1,08                                      	0,00                       	0,10                       	0,00                        	0,00                        	0,50                        	0,50                        	0,70                         	0,80                         	0,6                                   	0,6                                   	                           	1,1                                  	                            	1,0                                  	                            	                             	0,5                                     	                                      	0,2                                     	                                     	                                        	                                          
6                      	2648            	1                 	114             	15,64                    	10,58                    	                         	07:17                                	15:12                                	                                     	12:59                                  	08:40                                  	                                       	2,58                                      	2,90                                      	0,00                       	0,00                       	0,30                        	0,60                        	1,60                        	1,70                        	1,70                         	1,90                         	1,2                                   	1,2                                   	                           	2,0                                  	                            	2,2                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	4475            	1                 	104             	12,74                    	6,71                     	                         	07:29                                	15:45                                	                                     	06:51                                  	05:47                                  	                                       	3,40                                      	1,18                                      	0,10                       	0,10                       	0,50                        	0,00                        	1,70                        	0,50                        	2,40                         	0,90                         	1,8                                   	1,1                                   	                           	2,7                                  	                            	2,2                                  	                            	                             	0,1                                     	                                      	0,2                                     	                                     	                                        	                                          
6                      	4477            	2                 	122             	11,78                    	18,45                    	                         	07:34                                	15:31                                	                                     	05:44                                  	05:36                                  	                                       	3,70                                      	0,00                                      	0,00                       	0,00                       	0,60                        	0,00                        	1,90                        	0,00                        	2,60                         	0,00                         	2,0                                   	4,3                                   	                           	3,1                                  	                            	3,2                                  	                            	                             	0,2                                     	                                      	0,0                                     	                                     	                                        	                                          
6                      	4465            	2                 	118             	14,79                    	                         	                         	07:29                                	                                     	                                     	09:17                                  	                                       	                                       	3,14                                      	                                          	0,10                       	                           	0,50                        	                            	1,80                        	                            	2,09                         	                             	1,5                                   	                                      	                           	2,5                                  	                            	                                     	                            	                             	0,1                                     	                                      	                                        	                                     	                                        	                                          
6                      	3530            	1                 	101             	12,80                    	7,80                     	                         	07:17                                	15:12                                	                                     	09:17                                  	06:26                                  	                                       	4,53                                      	2,65                                      	6,60                       	0,10                       	1,50                        	0,70                        	1,60                        	1,50                        	1,70                         	1,70                         	1,3                                   	1,2                                   	                           	7,6                                  	                            	2,0                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
6                      	3458            	1                 	121             	10,32                    	                         	                         	07:18                                	                                     	                                     	07:44                                  	                                       	                                       	4,05                                      	                                          	4,30                       	                           	1,10                        	                            	1,60                        	                            	1,90                         	                             	1,3                                   	                                      	                           	7,6                                  	                            	                                     	                            	                             	0,0                                     	                                      	                                        	                                     	                                        	                                          
6                      	3437            	1                 	122             	12,06                    	7,54                     	                         	07:29                                	15:30                                	                                     	06:32                                  	04:36                                  	                                       	3,58                                      	2,50                                      	0,10                       	0,10                       	0,60                        	0,50                        	1,80                        	0,70                        	2,50                         	2,00                         	1,8                                   	1,6                                   	                           	3,2                                  	                            	3,3                                  	                            	                             	0,1                                     	                                      	0,1                                     	                                     	                                        	                                          
